inn,name,okved_main,region,employee_count,revenue_range,address,director
7707083893,ПАО Сбербанк,64.19,Москва,,10B+,"117312, город Москва, ул. Вавилова, д.19",Греф Герман Оскарович
7736050003,Публичное акционерное общество «Газпром»,46.71.4,Санкт-Петербург,,10B+,"Лахтинский проспект, д. 2, корп. 3, стр. 1, Санкт-Петербург, 197229",Миллер Алексей Борисович
7706107510,ПАО НК Роснефть,06.10.1,Москва,320000,10B+,"115035, город Москва, Софийская наб., д.26/1",Сечин Игорь Иванович
7708004767,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""ЛУКОЙЛ""",19.20.1,Москва,104000,10B+,"101000, г. Москва, бульвар Сретенский, д. 11",Кочкуров Сергей Алексеевич
8401005730,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""",24.45,Красноярский край,81855,10B+,"647000, Красноярский кр., Таймырский Долгано-Ненецкий район, г. Дудинка, ул. Морозова, д. 1",Потанин Владимир Олегович
6316031581,ПАО «НОВАТЭК»,19.20.9,Ямало-Ненецкий автономный округ,,10B+,"629851, Ямало-Ненецкий автономный округ, Пуровский район, город Тарко-Сале, ул. Победы, д. 22а",Михельсон Леонид Викторович
1644003838,"ПАО ""Татнефть"" им. В.Д.Шашина",06.10,Республика Татарстан,71156,10B+,"423450, Республика Татарстан (Татарстан), р-н Альметьевский, г. Альметьевск, ул. Ленина, д. 75",Маганов Наиль Ульфатович
8602060555,ПАО «Сургутнефтегаз»,06.10.1,Ханты-Мансийский автономный округ - Югра,113000,10B+,"Российская Федерация, Тюменская обл., Ханты-Мансийский автономный округ — Югра, г. Сургут, ул. Григория Кукуевицкого, 1, корпус 1",Богданов Владимир Леонидович
1433000147,"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)",08.99.32,Республика Саха (Якутия),,10B+,"678174, Республика Саха (Якутия), Мирнинский улус, город Мирный, ул Ленина, д. 6",Маринычев Павел Алексеевич
4823006703,ПАО НЛМК,24.10.4,Липецкая область,44200,10B+,"398040, Липецкая область, город Липецк, пл. Металлургов, д. 2",Каратаев Сергей Михайлович
3528000597,ПАО Северсталь,24.1,Вологодская область,49000,10B+,"ул. Мира 30, Череповец, Вологодская обл., Россия, 162608",Шевелёв Александр Анатольевич
7414003633,"ПАО ""Магнитогорский металлургический комбинат""",24.10,Челябинская область,56000,10B+,"455000, Челябинская обл., г. Магнитогорск, ул. Кирова, д. 93",Шиляев Павел Владимирович
3906394938,МКПАО «ОК РУСАЛ»,64.20,Калининградская область,62000,10B+,"236006, Российская Федерация, г. Калининград, ул. Октябрьская, д. 12, помещ. 6",Никитин Евгений Викторович
7707049388,Публичное акционерное общество «Ростелеком»,61.10,Санкт-Петербург,125000,10B+,"Российская Федерация, 191167, город Санкт-Петербург, вн. тер. г. муниципальный округ Смольнинское, Синопская набережная, дом 14, литера А",Осеевский Михаил Эдуардович
7740000076,Публичное акционерное общество «Мобильные ТелеСистемы»,64.20.11,Москва,27000,10B+,"Российская Федерация, 109147, г. Москва, ул. Марксистская, д.4, стр.1",Галактионова Инесса
7812014560,ПАО «МегаФон»,61.10,Москва,30854,10B+,"127006, город Москва, Оружейный пер., д. 41",Помбухчан Хачатур Эдуардович
3900019850,"Международная компания публичное акционерное общество ""ЯНДЕКС""",64.20,Калининградская область,,10B+,"236006, Калининградская обл, г.о. город Калининград, г Калининград, б-р Солнечный, зд. 3, помещ. 6, офис 202",Савиновский Артем Геннадьевич
3900015862,"МЕЖДУНАРОДНАЯ КОМПАНИЯ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВК""",64.20,Калининградская область,,10B+,"236006, Калининградская область, г Калининград, Октябрьская ул, д. 12, помещ. 23",Багудина Елена Геннадьевна
2309085638,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТ""",68.20.21,Краснодарский край,394000,10B+,"350072, Краснодарский край, город Краснодар, Солнечная ул., д.15 к.5",Случевский Евгений Сергеевич
7704217370,Общество с ограниченной ответственностью «Интернет Решения»,47.91.2,Москва,49889,10B+,"123112, г. Москва, Пресненская наб., д. 10, эт. 41, Пом. I, комн. 6",Окмянская Ольга Юрьевна
7708503727,Открытое акционерное общество «Российские железные дороги»,49.20,Москва,685200,10B+,"107174, г. Москва, ул. Новая Басманная, д. 2/1, стр. 1",Белозёров Олег Валентинович
7712040126,"ПАО ""Аэрофлот""",51.10.1,Москва,33300,10B+,"119019, город Москва, ул. Арбат, д. 1",Александровский Сергей Владимирович
2320109650,ПАО «Интер РАО»,35.14,Москва,60046,10B+,"119435, Российская Федерация, г. Москва, ул. Большая Пироговская, д. 27, стр. 2",Дрегваль Сергей Георгиевич
4716016979,ПАО Россети,35.12,Москва,235000,10B+,"121353, город Москва, Беловежская ул, д. 4",Рюмин Андрей Валерьевич
7706413348,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""",84.11.11,Москва,420000,10B+,"119017, город Москва, ул. Большая Ордынка, д.24",Лихачев Алексей Евгеньевич
