company_inn,name,title,email,phone,telegram
7707083893,Пресс-служба ПАО Сбербанк,Пресс-служба,media@sberbank.ru,+7 (495) 957-57-31,
7736050003,Пресс-служба ПАО «Газпром»,Пресс-служба,gazprom@gazprom.ru,+7 812 413-74-44,@Gazprom
7706107510,Департамент отношений с инвесторами ПАО «НК «Роснефть»,Департамент отношений с инвесторами,ir@rosneft.ru,+7 (499) 517-88-11,
7708004767,Пресс-служба ПАО «ЛУКОЙЛ»,Пресс-служба,media@lukoil.com,+74956274444,
8401005730,Пресс-служба ПАО ГМК Норильский никель,Пресс-служба,gmk@nornik.ru,+7 (495) 786-83-96,
6316031581,Пресс-служба ПАО «НОВАТЭК»,Пресс-служба,novatek@novatek.ru,+7 (495) 730 60 00,@novatek_ru
1644003838,IR-Service,IR-Service,ir@tatneft.ru,+7 (495) 980-52-26,
8602060555,Пресс-служба ПАО «Сургутнефтегаз»,Пресс-служба,press-ext@surgutneftegas.ru,+7 (3462) 42-72-41,
1433000147,Пресс-служба ПАО АЛРОСА,Пресс-служба,smi@alrosa.ru,+7 495 620-92-50,@Alrosa_news
4823006703,Представительство ПАО «НЛМК» в Москве,Представительство,info@nlmk.com,+7 495 504 05 04,
3528000597,Группа приема информации,Reception,severstal@severstal.com,+7 (8202) 53 0900,
7414003633,Служба по связям с инвесторами ПАО ММК,Служба по связям с инвесторами,vrubel.ys@mmk.ru,+7 (3519) 25-30-29,
3906394938,Пресс-служба МКПАО «ОК РУСАЛ»,Пресс-служба,documents@rusal.com,+7-495-720-51-70,
7707049388,Пресс-служба ПАО «Ростелеком» / Горячая линия для акционеров,Пресс-служба / Служба по связям с инвесторами,rtkm@rt.ru,8 (800) 100 16 66,@Rostelecom_IR_bot
7740000076,Функциональная группа по связям с инвесторами ПАО «МТС»,Функциональная группа по связям с инвесторами,ir@mts.ru,+7 (495) 223-20-25,
7812014560,Пресс-служба ПАО МегаФон,Пресс-служба,info@megafon.ru,8 800 550-05-55,
3900019850,Отдел по связям с инвесторами,Отдел по связям с инвесторами,askIR@yandex-team.ru,+7 495 739-70-00,@ydex_forinvestors
3900015862,IR VK,Investor Relations,ir@vk.company,+7 (495) 725 63 57 доб. 3444,
2309085638,Департамент по связям с инвесторами,Департамент по связям с инвесторами,magnitIR@magnit.ru,+7 (861) 210-98-10,
7704217370,Пресс-служба,Пресс-служба,pr@ozon.ru,+7 495 232 1000,@ozonhq
7708503727,Пресс-служба ОАО «РЖД»,Пресс-служба,press@center.rzd.ru,+7 (499) 262-66-70,
7712040126,Служба по связям с инвесторами ПАО Аэрофлот,Служба по связям с инвесторами,ir@aeroflot.ru,+7 (495) 258-06-86,
2320109650,Блок информационной политики,Пресс-служба,press@interrao.ru,+7 (495) 664-88-40,
4716016979,ПАО Россети,Официальные контакты / горячая линия,,+7 (800) 220-0-220,@rosseti_official
7706413348,"Пресс-служба Госкорпорации ""Росатом""",Пресс-служба,aaprivalov@rosatom.ru,+7 (499) 949-28-39,
